,region_group,income_group,country,survey,year,level,grade,category,Sex,Location,Wealth,Region,Ethnicity,Religion,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,comp_prim_v2_m,comp_prim_v2_no,comp_prim_1524_m,comp_prim_1524_no,trans_prim_m,trans_prim_no,comp_lowsec_v2_m,comp_lowsec_v2_no,comp_lowsec_1524_m,comp_lowsec_1524_no,trans_lowsec_m,trans_lowsec_no,comp_upsec_v2_m,comp_upsec_v2_no,comp_upsec_2029_m,comp_upsec_2029_no,comp_higher_2529_2yrs_m,comp_higher_2529_2yrs_no,comp_higher_2529_4yrs_m,comp_higher_2529_4yrs_no,comp_higher_3034_4yrs_m,comp_higher_3034_4yrs_no,enrol_higher_1822_m,enrol_higher_1822_no,edu_out_pry_m,edu_out_pry_no,edu_out_lowsec_m,edu_out_lowsec_no,edu_out_upsec_m,edu_out_upsec_no,overage2plus_m,overage2plus_no,edu2_20_m,edu2_20_no,edu4_20_m,edu4_20_no,eduyears_20_m,eduyears_20_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_no,iso_code
4271,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37.0,1.0,37.0,0.0,0.9459459185600281,37.0,0.9189189076423645,37.0,0.0,0.8648648858070374,37.0,0.7837837934494019,37.0,0.0,0.45945945382118225,37.0,0.5405405163764954,37.0,0.0,PAK
4275,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8297872543334961,47.0,0.8085106611251831,47.0,0.0,0.5531914830207825,47.0,0.6382978558540344,47.0,0.0,0.19148936867713928,47.0,0.1702127605676651,47.0,0.0,0.021276595070958138,47.0,0.021276595070958138,47.0,0.0,PAK
4276,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949999988079071,60.0,0.9666666388511658,60.0,0.0,0.9166666865348816,60.0,0.9166666865348816,60.0,0.0,0.75,60.0,0.7833333611488342,60.0,0.0,0.550000011920929,60.0,0.6000000238418579,60.0,0.0,PAK
4278,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8653846383094788,52.0,0.9433962106704712,53.0,0.0,0.5,52.0,0.6226415038108826,53.0,0.0,0.25,52.0,0.2075471729040146,53.0,0.0,0.057692307978868484,52.0,0.15094339847564697,53.0,0.0,PAK
4280,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8723404407501221,47.0,0.9555555582046509,45.0,0.0,0.7446808218955994,47.0,0.7333333492279053,45.0,0.0,0.44680851697921753,47.0,0.46666666865348816,45.0,0.0,0.1489361673593521,47.0,0.17777778208255768,45.0,0.0,PAK
4289,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9571428298950195,70.0,0.9583333134651184,72.0,0.0,0.8142856955528259,70.0,0.8055555820465088,72.0,0.0,0.5142857432365417,70.0,0.5277777910232544,72.0,0.0,0.11428571492433548,70.0,0.3333333432674408,72.0,0.0,PAK
4292,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9811320900917053,53.0,0.9811320900917053,53.0,0.0,0.9811320900917053,53.0,0.9433962106704712,53.0,0.0,0.8113207817077637,53.0,0.8679245114326477,53.0,0.0,0.5283018946647644,53.0,0.6037735939025879,53.0,0.0,PAK
4293,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,38.0,1.0,37.0,0.0,1.0,38.0,0.9729729890823364,37.0,0.0,0.8947368264198303,38.0,0.837837815284729,37.0,0.0,0.6052631735801697,38.0,0.6486486196517944,37.0,0.0,PAK
4298,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Female,,,Balochistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9559164643287659,862.0,0.9719626307487488,856.0,0.0,0.9211136698722839,862.0,0.9100467562675476,856.0,0.0,0.639211118221283,862.0,0.6787382960319519,856.0,0.0,0.23433874547481537,862.0,0.32009345293045044,856.0,0.0,PAK
4300,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9876543283462524,81.0,0.9876543283462524,81.0,0.0,0.9876543283462524,81.0,0.9382715821266174,81.0,0.0,0.8641975522041321,81.0,0.8395061492919922,81.0,0.0,0.5061728358268738,81.0,0.40740740299224854,81.0,0.0,PAK
