,region_group,income_group,country,survey,year,level,grade,category,Sex,Location,Wealth,Region,Ethnicity,Religion,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,comp_prim_v2_m,comp_prim_v2_no,comp_prim_1524_m,comp_prim_1524_no,trans_prim_m,trans_prim_no,comp_lowsec_v2_m,comp_lowsec_v2_no,comp_lowsec_1524_m,comp_lowsec_1524_no,trans_lowsec_m,trans_lowsec_no,comp_upsec_v2_m,comp_upsec_v2_no,comp_upsec_2029_m,comp_upsec_2029_no,comp_higher_2529_2yrs_m,comp_higher_2529_2yrs_no,comp_higher_2529_4yrs_m,comp_higher_2529_4yrs_no,comp_higher_3034_4yrs_m,comp_higher_3034_4yrs_no,enrol_higher_1822_m,enrol_higher_1822_no,edu_out_pry_m,edu_out_pry_no,edu_out_lowsec_m,edu_out_lowsec_no,edu_out_upsec_m,edu_out_upsec_no,overage2plus_m,overage2plus_no,edu2_20_m,edu2_20_no,edu4_20_m,edu4_20_no,eduyears_20_m,eduyears_20_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_no,iso_code
4272,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Male,,Quintile 2,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8266666531562805,75.0,0.8133333325386047,75.0,0.0,0.4533333480358124,75.0,0.4533333480358124,75.0,0.0,0.18666666746139526,75.0,0.20000000298023224,75.0,0.0,0.02666666731238365,75.0,0.11999999731779099,75.0,0.0,PAK
4274,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Sex and Country Wealth Index Quintiles,Male,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9273504018783569,468.0,0.9209401607513428,468.0,0.0,0.7670940160751343,468.0,0.7072649598121643,468.0,0.0,0.28205129504203796,468.0,0.3162393271923065,468.0,0.0,0.07051282376050949,468.0,0.11965811997652054,468.0,0.0,PAK
4282,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Male,,Quintile 1,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9523809552192688,84.0,0.9404761791229248,84.0,0.0,0.8452380895614624,84.0,0.7023809552192688,84.0,0.0,0.3333333432674408,84.0,0.3452380895614624,84.0,0.0,0.0357142873108387,84.0,0.095238097012043,84.0,0.0,PAK
4286,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Male,,,FATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9896789193153381,872.0,0.9953703880310059,864.0,0.0,0.9667431116104126,872.0,0.9282407164573669,864.0,0.0,0.7763761281967163,872.0,0.7303240895271301,864.0,0.0,0.4954128563404083,872.0,0.4513888955116272,864.0,0.0,PAK
4287,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Male,,Quintile 4,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9333333373069763,60.0,0.9152542352676392,59.0,0.0,0.7833333611488342,60.0,0.7118644118309021,59.0,0.0,0.23333333432674408,60.0,0.35593220591545105,59.0,0.0,0.03333333507180214,60.0,0.1355932205915451,59.0,0.0,PAK
4288,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Male,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9763033390045166,422.0,0.9716312289237976,423.0,0.0,0.9549763202667236,422.0,0.9408983588218689,423.0,0.0,0.8649289011955261,422.0,0.839243471622467,423.0,0.0,0.5829383730888367,422.0,0.6075649857521057,423.0,0.0,PAK
4295,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Male,,,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9687362313270569,2271.0,0.9761061668395996,2260.0,0.0,0.9339498281478882,2271.0,0.9327433705329895,2260.0,0.0,0.7846763730049133,2271.0,0.7973451614379883,2260.0,0.0,0.49581682682037354,2271.0,0.6075221300125122,2260.0,0.0,PAK
4296,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Male,,,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9177644848823547,2505.0,0.904990017414093,2505.0,0.0,0.7485029697418213,2505.0,0.6686626672744751,2505.0,0.0,0.2347305417060852,2505.0,0.17764471471309662,2505.0,0.0,0.0455089807510376,2505.0,0.038323353976011276,2505.0,0.0,PAK
4299,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Male,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9801980257034302,404.0,0.9875311851501465,401.0,0.0,0.9381188154220581,404.0,0.9526184797286987,401.0,0.0,0.7722772359848022,404.0,0.7581047415733337,401.0,0.0,0.42326733469963074,404.0,0.4862842857837677,401.0,0.0,PAK
4301,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Country Total Sex,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9735093116760254,10683.0,0.9781159162521362,10647.0,0.0,0.9366282820701599,10683.0,0.9284305572509766,10647.0,0.0,0.743798553943634,10683.0,0.7510097026824951,10647.0,0.0,0.3978283107280731,10683.0,0.44820135831832886,10647.0,0.0,PAK
